id,name,definition
DOID:0051000,autoinflammatory disease,"A primary immunodeficiency disease that is characterized by the activation of innate immune cells without an infection or injury being present, thus kickstarting the release of cytokines and other immune responses, causing fever and inflammation."
DOID:0051001,congenital dyserythropoietic anemia type IIIb,"A congenital dyserythropoietic anemia characterized by macrocytic anemia, aberrant giant multinucleated erythroblasts in the bone marrow, and skull defects secondary to severe anemia with ineffective erythropoiesis and that has_material_basis_in homozygous or compound heterozygous mutation in the RACGAP1 gene on chromosome 12q13."
DOID:0051002,congenital dyserythropoietic anemia type IVb,"A congenital dyserythropoietic anemia characterized by neonatal jaundice, hyperbilirubinemia, and severe congenital hemolytic anemia requiring transfusionn and that has_material_basis_in homozygous or compound heterozygous mutation in the KLF1 gene on chromosome 19p13.13."
DOID:0051003,congenital nonspherocytic hemolytic anemia 1,"A congenital nonspherocytic hemolytic anemia that has_material_basis_in mutation in the G6PD gene on chromosome Xq28, and is the most common genetic form of chronic and drug-, food-, or infection-induced hemolytic anemia."
DOID:0051004,congenital nonspherocytic hemolytic anemia 3,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the AK1 gene on chromosome 9q34.
DOID:0051005,congenital nonspherocytic hemolytic anemia 4,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the PHI gene (GPI) on chromosome 19q13.
DOID:0051006,congenital nonspherocytic hemolytic anemia 5,"A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the HK1 gene, which encodes a form of hexokinase, on chromosome 10q22."
DOID:0051007,congenital nonspherocytic hemolytic anemia 8,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the UMPH1 gene (NT5C3A) on chromosome 7p14.
DOID:0051008,congenital nonspherocytic hemolytic anemia 9,A congenital nonspherocytic hemolytic anemia that has_material_basis_in hemizygous or heterozygous mutation in the GATA1 gene on chromosome Xp11.
DOID:0051009,congenital nonspherocytic hemolytic anemia 10,A congenital nonspherocytic hemolytic anemia that has_material_basis_in homozygous or compound heterozygous mutation in the GSR gene on chromosome 8p21.
DOID:0051010,Bryant-Li-Bhoj neurodevelopmental syndrome,An autosomal dominant intellectual developmental disorder that is characterized by developmental delay / intellectual disability (typically in the severe range) and nonspecific craniofacial abnormalities.
DOID:0051011,Bryant-Li-Bhoj neurodevelopmental syndrome 1,"A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones and that has_material_basis_in heterozygous mutation in the H3F3A gene on chromosome 1q42."
DOID:0051012,Bryant-Li-Bhoj neurodevelopmental syndrome 2,"A Bryant-Li-Bhoj neurodevelopmental syndrome that is characterized predominantly by moderate to severe global developmental delay with impaired intellectual development, poor or absent speech, and delayed motor milestones nd that has_material_basis_in heterozygous mutation in the H3F3B gene on chromosome 17q25."
DOID:0051013,pseudohypoparathyroidism type 1C,A pseudohypoparathyroidism that has_material_basis_in a heterozygous mutation on the maternal allele of the GNAS gene on chromosome 20q13.
DOID:0060930,developmental dysplasia of the hip,A bone development disease characterized by abnormality of the seating of the femoral head in the acetabulum.
DOID:0060931,developmental dysplasia of the hip 1,A developmental dysplasia of the hip that is characterized by a shallow hip socket and that has_material_basis_in variation in the chromosomal region 13q22.
DOID:0060932,developmental dysplasia of the hip 2,"A developmental dysplasia of the hip that is characterized by incomplete formation of the acetabulum leading to dislocation of the femur, suboptimal joint function, and accelerated wear of the articular cartilage, resulting in arthritis and that has_material_basis_in variation in the chromosomal region 3p22.2."
DOID:0060933,"developmental delay, dysmorphic facies, and brain anomalies","An autosomal dominant intellectual developmental disorder characterized by global developmental delay with impaired intellectual development, speech delay, nonspecific dysmorphic facial features, hypotonia, and impaired overall growth with small head circumference that has_material_basis_in heterozygous mutation in the U2AF2 gene on chromosome 19q13."
DOID:0060934,"neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy","An autosomal recessive intellectual developmental disorder characterized by  global developmental delay, severe intellectual disability with poor or absent speech and autistic stereotypic behaviors, microcephaly, early-onset generalized seizures, and hypotonia that has_material_basis_in homozygous mutation in the TRAPPC6B gene on chromosome 14q21."
DOID:0060935,infantile hypotonia with psychomotor retardation and characteristic facies-3,"An autosomal recessive intellectual developmental disorder characterized by very poor, if any, psychomotor development, poor speech, inability to walk independently and onset at birth or in early infancy that has_material_basis_in homozygous or compound heterozygous mutation in the TBCK gene on chromosome 4q24."
DOID:0060936,"dystonia 28, childhood-onset","A dystonia characterized by onset of progressive dystonia in the first decade of life resulting in gait upper limbs, neck, and orofacial region difficulties, elongated face with bulbous nose, some have abnormal eye movements and potential delayed motor and/or cognitive development with mild intellectual disability that has_material_basis_in heterozygous mutation in the KMT2B gene on chromosome 19p13."
DOID:0060937,dystonia 30,"A dystonia characterized by the onset of symptoms in the first decades of life, with oromandibular, cervical, bulbar, or upper limb dystonia, and usually show slow progression to generalized dystonia. Some patients may lose ambulation and have neurocognitive impairment, including mild intellectual disability or psychiatric manifestations with has_material_basis_in heterozygous mutation in the VPS16 gene on chromosome 20p13."
DOID:0060938,dystonia 31,"A dystonia characterized by age at onset ranges from childhood to young adulthood with involuntary muscle twisting movements and postural abnormalities affecting the upper and lower limbs, neck, face, and trunk. Some patients may have orofacial dyskinesia resulting in articulation and swallowing difficulties that has_material_basis_in homozygous or compound heterozygous mutation in the AOPEP gene on chromosome 9q22."
DOID:0060939,dystonia 32,"A dystonia characterized by onset of symptoms in adulthood, sustained or intermittent muscle contractions causing abnormal movements or posturing. The disorder is slowly progressive with eventual generalized involvement of the limbs, trunk, neck, and larynx, resulting in dysarthria and dysphagia. Brain imaging may show abnormalities in the basal ganglia that has_material_basis_in homozygous mutation in the VPS11 gene on chromosome 11q23."
DOID:0060940,dystonia 33,A dystonia characterized by a neurologic disorder with onset of focal or generalized dystonia in the first decades of life (from early childhood to adolescence) that has_material_basis_in heterozygous mutation in the EIF2AK2 gene on chromosome 2p22.
DOID:0060941,interstitial lung disease 1,An interstitial lung disease characterized by a progressive remodeling of the alveolar interstitium that has_material_basis_in heterozygous mutation in the SFTPA1 gene on chromosome 10q22.
DOID:0060942,Ullrich congenital muscular dystrophy 1B,"An Ullrich congenital muscular dystrophy characterized by generalized muscle weakness and striking hypermobility of distal joints in conjunction with variable contractures of more proximal joints and normal intelligence that has_material_basis_in homozygous, compound heterozygous, or heterozygous mutation in the COL6A2 gene on chromosome 21q22."
DOID:0060943,Ullrich congenital muscular dystrophy 1C,An Ullrich congenital muscular dystrophy characterized by generalized muscle weakness and striking hypermobility of distal joints in conjunction with variable contractures of more proximal joints and normal intelligence that has_material_basis_in homozygous or heterozygous mutation in the COL6A3 gene on chromosome 2q37.
DOID:0060944,episodic kinesigenic dyskinesia 3,"A dystonia characterized by dystonia, chorea, athetosis, and other hyperkinetic movements that has_material_basis_in heterozygous mutation in the TMEM151A gene on chromosome 11q13."
DOID:0060945,amelogenesis imperfecta type 1K,An amelogenesis imperfecta characterized by hypoplastic enamel of all teeth that has_material_basis_in heterozygous mutation in the SP6 gene on chromosome 17q21.
DOID:0060946,Ullrich congenital muscular dystrophy 1A,"An Ullrich congenital muscular dystrophy characterized by generalized muscle weakness and striking hypermobility of distal joints in conjunction with variable contractures of more proximal joints and normal intelligence that has_material_basis_in homozygous, compound heterozygous, or heterozygous mutation in the COL6A1 gene on chromosome 21q22."
DOID:0060947,autosomal recessive intellectual developmental disorder 82,"An autosomal recessive intellectual developmental disorder characterized by global developmental delay with motor and speech delay, variably impaired intellectual development, and behavioral abnormalities has_material_basis_in homozygous mutation in the NSUN6 gene on chromosome 10p12."
DOID:0060948,Ullrich congenital muscular dystrophy 2,"An Ullrich congenital muscular dystrophy characterized by joint hypermobility, proximal contractures, and muscle weakness precluding ambulation that has_material_basis_in homozygous mutation in the COL12A1 gene on chromosome 6q."
DOID:0060949,3-hydroxyisobutryl-CoA hydrolase deficiency,"An amino acid metabolic disorder characterized by severely delayed psychomotor development, neurodegeneration, increased lactic acid, and brain lesions in the basal ganglia  that has_material_basis_in homozygous or compound heterozygous mutation in the HIBCH gene on chromosome 2q32."
DOID:0060950,hypervalinemia and hyperleucine-isoleucinemia,An amino acid metabolic characterized by highly elevated plasma valine and leucine concentrations that has_material_basis_in compound heterozygous mutation in the BCAT2 gene on chromosome 19q13.
DOID:0060951,polycystic kidney disease 6,An autosomal dominant polycystic kidney disease characterized by the development of multiple small renal cysts and progression to renal insufficiency or end-stage renal disease (ESRD) most often after the sixth decade that has_material_basis_in heterozygous mutation in the DNAJB11 gene on chromosome 3q27.
DOID:0060952,polycystic kidney disease 7,A autosomal dominant polycystic kidney disease characterized by the development of small kidney cysts and renal interstitial fibrosis causing adult-onset progressive loss of kidney function leading to end-stage kidney disease after around 60 years of age that has_material_basis_in heterozygous mutation in the ALG5 gene on chromosome 13q13.
DOID:0060953,ZTTK syndrome,A syndrome characterized by delayed psychomotor development and intellectual disability that has_material_basis_in heterozygous mutation in the SON gene on chromosome 21q22.
DOID:0060954,"Holoprosencephaly 13, X-linked",A holoprosencephaly characterized by midline developmental defects that mainly affect the brain and craniofacial structure that has_material_basis_in heterozygous mutation in the STAG2 gene on chromosome Xq25.
DOID:0060955,"dystonia 35, childhood-onset",A dystonia characterized by the onset of a dystonic movement disorder in the first year of life that has_material_basis_in compound heterozygous mutation in the SHQ1 gene on chromosome 3p13.
DOID:0060956,"dystonia 37, early-onset with striatal lesions","A dystonia characterized by the onset of progressive dystonia, dysphagia, and choreoathetosis in the first months or years of life that has_material_basis_in homozygous or compound heterozygous mutations in the NUP54 gene on chromosome 4q21."
DOID:0060957,myoclonic dystonia 34,"A dystonia characterized by childhood-onset dystonia primarily involving the hands and neck, with a fast tremor with superimposed myoclonus that has_material_basis_in heterozygous mutation in the KCNN2 gene on chromosome 5q22."
DOID:0060958,orofaciodigital syndrome XIV,"An orofaciodigital syndrome that is characterized by severe microcephaly, trigonocephaly, severe intellectual disability and micropenis, in addition to oral, facial and digital malformations (gingival frenulae, lingual hamartomas, cleft/lobulated tongue, cleft palate, telecanthus, up-slanting palpebral fissures, microretrognathia, postaxial polydactyly of hands and duplication of hallux) that has_material_basis_in homozygous or compound heterozygous mutation in the C2CD3 gene on chromosome 11q13."
DOID:0060959,orofaciodigital syndrome II,"An orofaciodigital syndrome that is characterized by cleft lip/palate, lobulated tongue with nodules, dental anomalies including tooth agenesis, maxillary hypoplasia, conductive hearing loss, and poly-, syn-, and brachydactyly that has_material_basis_in compound heterozygous mutation in the NEK1 gene on chromosome 4q33."
DOID:0060960,orofaciodigital syndrome XIX,"An orofaciodigital syndrome that is characterized by tongue nodules; dental anomalies including congenital absence or abnormal shape of incisors; narrow, high-arched or cleft palate; retrognathia; and digital anomalies that has_material_basis_in homozygous mutation in the SCNM1 gene on chromosome 1q21."
DOID:0060961,orofaciodigital syndrome XVIII,"An orofaciodigital syndrome that is characterized by short stature, brachymesophalangy, pre- and postaxial polysyndactyly, and stocky femoral necks, as well as oral anomalies and dysmorphic facial features that has_material_basis_in homozygous mutation in the IFT57 gene on chromosome 3q13."
