id,name,definition
DOID:10230,aortic atherosclerosis,An atherosclerosis of the aorta.
DOID:11353,bladder diverticulum,A bladder disease characterized by protrusion of the bladder urothelium and mucosa via muscle fibers of the bladder wall which results in one or more thin-walled structures connected to the bladder lumen.
DOID:1168,familial hyperlipidemia,A lipid metabolism disease that is characterized by elevated levels of lipids in the blood.
DOID:12475,pes anserinus bursitis,"A bursitis that is characterized by inflammation of the bursal sac beneath the pes anserinus, resulting in: medial knee pain."
DOID:12557,Duane retraction syndrome,"Duane retraction syndrome is a strabismus characterized by a failure of cranial nerve VI (the abducens nerve) to develop normally, resulting in restriction or absence of abduction, adduction, or both, and narrowing of the palpebral fissure and retraction of the globe on attempted adduction."
DOID:12581,olecranon bursitis,"A bursitis that is characterized by an inflammation of the bursa, located at the tip of the elbow (olecranon process)."
DOID:12720,cerebral atherosclerosis,An atherosclerosis of the cerebral vasculature.
DOID:12857,retrocalcaneal bursitis,"A bursitis that is characterized by an inflammation of the bursa, a fluid-filled sac that cushions the Achilles tendon where it attaches to the heel bone (calcaneus)."
DOID:13453,gonococcal bursitis,"A bursitis that is characterized by an inflammation of a bursa  caused by the Neisseria gonorrhoeae bacteria, resulting from gonorrhea that has spread to other parts of the body."
DOID:14092,renal artery atheroma,An atherosclerosis of the renal artery.
DOID:1682,congenital heart disease,A physical disorder that is characterized by problems with the heart's structure that are present at birth.
DOID:1936,atherosclerosis,An arteriosclerotic cardiovascular disease that is characterized by the build-up of fatty material and calcium deposition in the arterial wall resulting in partial or complete occlusion of the arterial lumen. Disease is located within the tunica intima of large and small arteries.
DOID:2237,hepatitis,A liver disease that is characterized as an inflammation of the liver.
DOID:2347,generalized atherosclerosis,An atherosclerosis that is not localized.
DOID:2348,arteriosclerotic cardiovascular disease,An arteriosclerosis that results in cardiovascular disease.
DOID:2964,periarthritis,An arthritis that is characterized by inflammation of the tissues surrounding a joint. It is a common cause of joint pain and stiffness.
DOID:2965,bursitis,"A connective tissue disease that is characterized by the inflammation of bursae, small, fluid-filled sacs that cushion the bones, tendons and muscles near your joints."
DOID:3749,urethral verrucous carcinoma,A urethra squamous cell carcinoma that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DOID:3928,adiposis dolorosa,A lipomatosis characterized by characterized by painful folds of fatty (adipose) tissue or the growth of multiple noncancerous (benign) fatty tumors called lipomas.
DOID:4976,elephantiasis,"A lymphedema that is characterised by edema, hypertrophy, and fibrosis of skin and subcutaneous tissues, due to obstruction of lymphatic vessels resulting in the enlargement and hardening of limbs or body parts due to tissue swelling (edema)."
DOID:4977,lymphedema,"A lymphatic system disease that is characterized by the abnormal accumulation of lymph fluid in the body's tissues, leading to swelling."
DOID:5345,testicular non-seminomatous germ cell cancer,A testicular malignant germ cell cancer that is characterized by the absence of a seminomatous component.
DOID:5692,cellular myxoid liposarcoma,A liposarcoma characterized by the presence of solid sheets of primitive round mesenchymal cells and the absence of myxoid stroma.
DOID:5703,mixed liposarcoma,A liposarcoma characterized by the presence of a combination of liposarcomatous morphologic subtypes: myxoid/round cell and well differentiated/dedifferentiated liposarcoma or myxoid/round cell and pleomorphic liposarcoma.
DOID:6166,prostatic urethra urothelial carcinoma,A prostatic urethral cancer that derives_from the urothelial lining of the prostatic urethra.
DOID:6167,prostatic urethral cancer,A male urethral cancer that derives_from the prostatic urethra.
DOID:736,male urethral cancer,An urethral cancer that derives_from the male urethra.
DOID:738,female urethral cancer,An urethral cancer that derives_from the female urethra.
DOID:8223,penile urethral cancer,A male urethral cancer that derives_from the penile urethra.
DOID:8259,bulbomembranous urethral cancer,A male urethral cancer that derives_from the bulbomembranous part of the urethra.
DOID:8672,viral exanthem,An exanthem that has_material_basis_in viruses.
DOID:8743,erythema infectiosum,A viral exanthem that has_material_basis_in Human parvovirus B19 (Erythroparvovirus primate1).
